levantamento;genero;idade;peso;carga;nivel
supino;m;39;90.4;125;intermediario
deadlift;m;46;95.1;164;intermediario
agachamento;m;27;80.4;199;avancado
agachamento;f;45;62.3;55;iniciante
supino;f;34;65.0;57;intermediario
agachamento;f;25;68.8;78;intermediario
agachamento;m;23;82.8;80;iniciante
deadlift;f;22;72.1;115;intermediario
agachamento;f;32;65.6;91;avancado
supino;m;33;85.9;73;iniciante
supino;m;29;82.8;66;iniciante
agachamento;f;26;67.4;64;iniciante
agachamento;m;35;88.4;143;intermediario
agachamento;f;23;70.8;74;intermediario
agachamento;m;26;79.5;75;iniciante
supino;f;20;73.1;42;iniciante
supino;f;29;67.8;26;iniciante
agachamento;f;34;64.8;70;intermediario
supino;m;22;75.6;68;iniciante
deadlift;m;34;86.2;149;intermediario
agachamento;f;29;66.4;104;avancado
deadlift;f;26;67.7;110;intermediario
supino;m;26;79.4;107;intermediario
deadlift;f;32;66.4;63;iniciante
deadlift;f;35;64.9;58;iniciante
supino;f;28;54.1;52;intermediario
agachamento;m;35;88.2;199;avancado
agachamento;m;46;97.9;103;iniciante
supino;f;33;65.6;30;iniciante
deadlift;f;28;66.5;63;iniciante
supino;f;26;68.8;37;iniciante
supino;f;42;62.7;30;iniciante
supino;f;36;64.8;61;avancado
deadlift;f;44;62.0;56;iniciante
supino;f;28;67.2;59;intermediario
deadlift;f;30;66.7;130;avancado
supino;m;38;89.4;132;avancado
agachamento;f;31;66.2;105;avancado
deadlift;m;31;84.2;126;iniciante
deadlift;f;25;69.1;135;avancado
agachamento;f;33;65.5;56;iniciante
agachamento;m;29;82.7;136;intermediario
agachamento;m;39;91.5;96;iniciante
deadlift;f;20;73.5;116;intermediario
deadlift;f;33;65.9;129;avancado
deadlift;f;36;64.3;100;intermediario
agachamento;f;22;71.0;77;intermediario
agachamento;m;36;89.3;150;intermediario
deadlift;f;33;70.1;68;iniciante
agachamento;m;24;77.7;121;intermediario
supino;f;31;66.8;60;intermediario
deadlift;f;42;63.2;59;iniciante
supino;m;44;93.6;143;avancado
deadlift;m;27;80.8;116;iniciante
agachamento;f;28;67.2;77;intermediario
agachamento;f;39;63.0;91;avancado
supino;f;29;67.9;65;avancado
deadlift;m;29;82.9;190;avancado
supino;m;25;78.6;68;iniciante
agachamento;m;40;91.8;101;iniciante
deadlift;f;37;63.8;105;intermediario
agachamento;m;44;96.8;107;iniciante
supino;f;27;68.2;66;avancado
supino;f;45;61.8;54;avancado
deadlift;m;41;89.7;213;avancado
agachamento;m;32;85.0;141;intermediario
supino;f;25;69.0;39;iniciante
agachamento;m;23;76.4;148;avancado
agachamento;m;45;96.3;162;intermediario
agachamento;m;42;94.5;159;intermediario
agachamento;m;22;75.4;179;avancado
deadlift;f;46;61.5;102;intermediario
supino;m;24;77.2;122;avancado
supino;f;35;64.9;57;intermediario
supino;f;25;68.9;39;iniciante
